City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.10,-79.24,71.71,65,0,6.91,clear sky
1,Kapaa,US,22.08,-159.32,84.18,71,20,17.27,few clouds
2,Ostrovnoy,RU,68.05,39.51,51.1,84,9,17.13,clear sky
3,Rikitea,PF,-23.12,-134.97,72.7,73,63,19.84,broken clouds
4,Atuona,PF,-9.80,-139.03,76.98,72,24,24.65,few clouds
5,Zhigansk,RU,66.77,123.37,51.66,66,65,23.51,broken clouds
6,Otuzco,PE,-7.90,-78.58,51.69,69,79,1.3,broken clouds
7,Dzerzhinsk,RU,56.24,43.46,53.42,100,0,0.0,clear sky
8,Port Blair,IN,11.67,92.75,81.46,81,100,15.57,overcast clouds
9,Dikson,RU,73.51,80.55,43.86,92,87,19.55,overcast clouds
10,Qaanaaq,GL,77.48,-69.36,38.35,73,96,7.2,overcast clouds
11,Busselton,AU,-33.65,115.33,51.04,84,2,13.62,clear sky
12,Bluff,NZ,-46.60,168.33,44.8,72,97,9.98,overcast clouds
13,Srednekolymsk,RU,67.45,153.68,65.53,67,85,15.08,overcast clouds
14,New Norfolk,AU,-42.78,147.06,51.93,86,99,1.19,moderate rain
15,Ushuaia,AR,-54.80,-68.30,33.46,93,40,4.61,scattered clouds
16,Lavrentiya,RU,65.58,-171.00,44.46,92,88,7.4,overcast clouds
17,Anadyr,RU,64.75,177.48,59.5,76,75,6.71,light rain
18,Port Alfred,ZA,-33.59,26.89,62.35,81,94,6.22,overcast clouds
19,Barra Velha,BR,-26.63,-48.68,62.51,93,79,4.41,broken clouds
20,Mahebourg,MU,-20.41,57.70,68.25,76,89,19.39,light rain
21,Nerchinskiy Zavod,RU,51.31,119.61,58.21,89,99,2.24,overcast clouds
22,Barrow,US,71.29,-156.79,48.22,87,100,18.41,mist
23,Pevek,RU,69.70,170.31,36.48,91,87,6.06,overcast clouds
24,Aklavik,CA,68.22,-135.01,70.48,33,24,5.97,few clouds
25,Albany,US,42.60,-73.97,77.41,52,60,1.01,broken clouds
26,Georgetown,MY,5.41,100.34,83.89,85,20,0.0,few clouds
27,Mar Del Plata,AR,-38.00,-57.56,52.88,80,0,18.01,clear sky
28,Oktyabrskoye,RU,43.06,44.74,64.54,93,0,2.24,clear sky
29,Magnolia,US,33.27,-93.24,79.88,78,76,8.12,broken clouds
30,Punta Arenas,CL,-53.15,-70.92,33.91,75,75,9.22,broken clouds
31,Kodiak,US,57.79,-152.41,58.51,88,100,6.91,overcast clouds
32,Puerto Ayora,EC,-0.74,-90.35,67.55,100,99,5.99,overcast clouds
33,Kaeo,NZ,-35.10,173.78,59.32,64,1,8.99,clear sky
34,Komyshuvakha,UA,47.72,35.53,74.68,56,100,17.58,light rain
35,Missoula,US,47.02,-113.80,88.84,22,35,2.86,scattered clouds
36,Pahalgam,IN,34.03,75.33,59.72,92,95,1.72,overcast clouds
37,Mataura,NZ,-46.19,168.86,44.47,59,22,2.89,few clouds
38,Narsaq,GL,60.92,-46.05,48.42,85,18,2.57,few clouds
39,Katsuura,JP,35.13,140.30,83.32,79,13,20.71,few clouds
40,Clyde River,CA,70.47,-68.59,53.46,65,83,9.19,broken clouds
41,Matara,LK,5.95,80.54,76.57,93,93,7.38,overcast clouds
42,Ilulissat,GL,69.22,-51.10,41.02,93,100,3.44,overcast clouds
43,Laguna,US,38.42,-121.42,97.34,23,0,11.5,clear sky
44,Port Elizabeth,ZA,-33.92,25.57,57.31,96,97,3.0,overcast clouds
45,Abu Dhabi,AE,24.47,54.37,93.31,80,90,2.3,overcast clouds
46,Vaini,TO,-21.20,-175.20,77.16,78,75,11.5,broken clouds
47,Hermanus,ZA,-34.42,19.23,53.8,78,100,12.59,moderate rain
48,Bathsheba,BB,13.22,-59.52,81.21,89,20,11.5,few clouds
49,Kalmunai,LK,7.42,81.82,78.21,79,100,4.52,overcast clouds
50,Cherskiy,RU,68.75,161.30,59.56,60,96,14.2,overcast clouds
51,Cabinda,AO,-5.55,12.20,68.74,95,85,5.03,overcast clouds
52,Cape Town,ZA,-33.93,18.42,55.11,85,75,13.8,moderate rain
53,Castro,BR,-24.79,-50.01,45.61,92,0,4.03,clear sky
54,Kargasok,RU,59.06,80.86,50.79,75,39,5.03,scattered clouds
55,Bethel,US,41.37,-73.41,79.34,66,99,3.58,overcast clouds
